Type	Time
ctrl	7.250636
syn1	7.265430
syn2	7.251345
syn3	7.239933
syn2	7.270313
syn3	7.270313
ctrl	7.257708
syn1	7.275865
syn2	7.237778
syn3	7.262629
ctrl	7.259116
syn1	7.272398
syn2	7.254885
syn3	7.301148
ctrl	7.259116
syn1	7.243513
syn2	7.277939
syn3	7.266827
ctrl	7.204149
syn2	7.249215
syn3	7.334329
ctrl	7.293698
syn1	7.324490
syn2	7.321189
ctrl	7.273093
syn1	7.315884
ctrl	7.306531
syn2	7.296413
syn3	7.317212
ctrl	7.262629
syn3	7.230563
syn1	7.273786
syn2	7.283448
syn3	7.321850
syn1	7.209340
syn2	7.237778
ctrl	7.230563
syn1	7.270313
syn2	7.261927
syn3	7.256297
ctrl	7.278629
syn1	7.288928
syn2	7.282761
syn3	7.335634
ctrl	7.349874
syn1	7.256297
syn2	7.315884
syn3	7.277248
ctrl	7.349874
syn1	7.288244
syn3	7.265430
ctrl	7.281386
syn1	7.284821
syn2	7.214504
syn3	7.266827
ctrl	7.272398
syn1	7.275865
syn2	7.221105
syn3	7.286192
ctrl	7.271009
syn1	7.269617
syn3	7.329094
ctrl	7.271009
syn1	7.285507
syn3	7.245655
ctrl	7.219642
syn1	7.276556
syn2	7.260523
syn3	7.295056
ctrl	7.273786
syn1	7.275865
syn3	7.266129
ctrl	7.230563
syn2	7.260523
syn3	7.311886
syn1	7.246368
syn2	7.275865
syn3	7.244228
ctrl	7.211557
syn1	7.295735
syn2	7.235619
ctrl	7.226209
syn1	7.273786
syn2	7.277939
ctrl	7.275172
syn1	7.271009
syn2	7.262629
syn3	7.263330
ctrl	7.288244
syn3	7.277248
syn2	7.249215
syn2	7.299121
syn3	7.281386
ctrl	7.254885
syn1	7.309212
syn3	7.288928
ctrl	7.277939
syn1	7.282761
syn2	7.295056
ctrl	7.204893
syn1	7.259116
ctrl	7.277939
syn1	7.276556
syn3	7.255591
ctrl	7.182352
syn1	7.295056
syn2	7.309212
syn3	7.258412
syn1	7.297091
syn2	7.243513
syn3	7.278629
ctrl	7.295735
syn1	7.272398
syn2	7.244942
syn3	7.213032
syn2	7.209340
ctrl	7.173192
syn3	7.269617
ctrl	7.311218
syn2	7.316548
syn3	7.328437
syn2	7.167809
syn3	7.289611
ctrl	7.284135
syn1	7.292337
syn2	7.281386
syn3	7.277939
ctrl	7.295056
syn1	7.287561
syn2	7.277939
syn3	7.183871
ctrl	7.244228
syn1	7.285507
syn2	7.264730
syn3	7.327123
ctrl	7.200425
syn3	7.319202
ctrl	7.163172
syn1	7.210080
syn3	7.294377
ctrl	7.264030
syn1	7.314553
syn3	7.272398
syn1	7.229114
syn2	7.200425
syn3	7.183871
ctrl	7.261225
syn1	7.271704
syn2	7.264030
syn3	7.275865
ctrl	7.275172
ctrl	7.256297
syn1	7.267525
syn2	7.343426
syn3	7.281386
ctrl	7.293698
syn3	7.270313
syn1	7.231287
ctrl	7.320527
syn1	7.314553
syn2	7.295056
syn3	7.252762
syn1	7.292337
syn2	7.346655
syn3	7.239215
syn1	7.207119
syn2	7.191429
syn3	7.192182
syn1	7.238497
syn2	7.200425
syn1	7.287561
syn1	7.214504
syn2	7.192182
ctrl	7.218910
syn2	7.280697
syn3	7.276556
ctrl	7.333023
ctrl	7.283448
syn1	7.270313
syn2	7.282074
syn3	7.268223
ctrl	7.247793
syn1	7.275865
syn2	7.247793
syn3	7.254178
syn2	7.282074
syn3	7.336937
syn1	7.300473
syn3	7.249926
ctrl	7.242798
syn3	7.308543
ctrl	7.234898
ctrl	7.280008
syn1	7.268920
syn2	7.254885
syn3	7.338888
ctrl	7.229114
syn1	7.334982
syn3	7.218910
ctrl	7.219642
syn1	7.202661
syn2	7.257708
syn3	7.224025
syn1	7.286192
syn2	7.216709
syn3	7.187657
ctrl	7.319202
syn1	7.268223
syn2	7.324490
syn3	7.250636
syn3	7.275172
ctrl	7.282761
syn1	7.261225
syn2	7.278629
syn3	7.274480
ctrl	7.263330
syn1	7.336286
syn2	7.264030
syn3	7.277248
ctrl	7.237778
syn1	7.244228
syn2	7.237778
syn3	7.258412
ctrl	7.254178
syn1	7.265430
syn2	7.257708
syn1	7.326466
ctrl	7.216709
syn1	7.221836
syn2	7.239215
syn3	7.224753
ctrl	7.333023
syn1	7.278629
syn3	7.330405
ctrl	7.332369
syn1	7.323831
syn2	7.276556
syn3	7.286192
ctrl	7.250636
syn1	7.266129
syn2	7.267525
syn3	7.252762
syn2	7.302496
ctrl	7.261225
syn1	7.243513
syn2	7.241366
syn3	7.266827
ctrl	7.256297
syn1	7.264030
ctrl	7.255591
syn2	7.239933
syn3	7.209340
ctrl	7.273786
syn1	7.264730
syn2	7.178545
syn3	7.185387
ctrl	7.241366
syn1	7.161622
syn3	7.286192
ctrl	7.261225
syn1	7.282761
syn3	7.243513
ctrl	7.316548
syn1	7.248504
syn2	7.290293
syn3	7.313220
ctrl	7.277248
syn1	7.288928
syn2	7.286192
syn3	7.253470
ctrl	7.229114
syn1	7.340836
syn2	7.266827
syn3	7.264730
ctrl	7.212294
syn1	7.281386
syn2	7.263330
syn3	7.268920
syn1	7.317876
syn2	7.273786
ctrl	7.283448
syn1	7.200425
syn3	7.213768
syn1	7.288928
syn2	7.264730
syn3	7.261927
ctrl	7.269617
syn1	7.336937
syn2	7.271009
syn3	7.239215
ctrl	7.282074
syn1	7.318540
syn2	7.268223
syn3	7.260523
ctrl	7.259116
syn1	7.296413
syn2	7.249215
syn3	7.231287
ctrl	7.247793
syn1	7.281386
syn2	7.275865
syn3	7.187657
ctrl	7.173958
syn2	7.262629
syn3	7.176255
syn1	7.226209
syn2	7.323831
syn3	7.271704
ctrl	7.275865
syn1	7.275172
syn2	7.244228
syn3	7.276556
syn1	7.224025
syn2	7.305188
syn3	7.270313
ctrl	7.261225
syn1	7.273786
syn2	7.261927
syn3	7.288928
ctrl	7.252762
syn1	7.264730
syn2	7.207860
ctrl	7.244228
syn1	7.329750
syn2	7.273786
syn3	7.261225
ctrl	7.268223
syn1	7.299797
syn2	7.206377
syn3	7.279319
ctrl	7.227662
syn1	7.215975
syn2	7.284821
syn3	7.250636
syn3	7.279319
ctrl	7.247081
syn1	7.257003
syn2	7.275172
syn3	7.267525
ctrl	7.306531
syn1	7.249215
syn2	7.282761
syn3	7.280008
ctrl	7.254885
syn2	7.266827
ctrl	7.241366
ctrl	7.259820
syn2	7.274480
syn3	7.290293
ctrl	7.264030
syn1	7.271009
syn3	7.278629
ctrl	7.269617
syn1	7.263330
syn2	7.304516
syn3	7.257708
ctrl	7.240650
syn1	7.247081
syn2	7.226936
syn3	7.252762
ctrl	7.262629
syn1	7.277939
syn2	7.257708
syn3	7.261225
ctrl	7.250636
syn1	7.265430
syn2	7.207860
ctrl	7.264030
syn1	7.237778
syn2	7.264030
syn3	7.226209
ctrl	7.295056
syn1	7.299121
syn2	7.275865
syn3	7.259820
ctrl	7.262629
syn1	7.267525
syn2	7.269617
syn3	7.344719
